tenant_id,company_name,industry,investment_usd,employee_count,land_needed_ha,power_requirement_kw,water_requirement_m3,export_oriented,preferred_region,budget_min_etb,budget_max_etb,chosen_park_id,chosen_park_name,match_score,placement_successful,satisfaction_rating,placement_date
TEN59695,African Electronics Group,electronics,7351696,366,5.63,565.8,117.8,True,any,67181.3456515519,176887.33193858713,hawassa,Hawassa Industrial Park,70.0,True,3.9,2024-05-26 16:12:18.942369
TEN32241,Nile Agro Processing Textile Mill,agro_processing,7911939,576,8.25,472.6,166.6,False,any,71451.96171975318,208316.67441426773,mekelle,Mekelle Industrial Park,96.0,True,5.0,2024-02-21 16:12:18.942369
TEN69692,Bole Beverage International,beverage,3840845,280,3.96,159.4,138.2,False,any,35148.88539128357,104407.45317814715,adama,Adama Industrial Park,96.0,True,4.9,2024-02-05 16:12:18.942369
TEN25906,Piassa Textile Manufacturing,textile,14059727,636,8.77,485.8,307.3,False,SNNPR,135013.21326696553,375054.14671443123,adama,Adama Industrial Park,59.0,True,3.7,2024-10-13 16:12:18.942369
TEN93579,Axum Electronics Corporation,electronics,9691766,486,7.37,359.0,216.1,False,any,86927.32978748607,217022.46928559287,addis_industrial_village,Addis Industrial Village (AIV),96.0,True,5.0,2025-01-31 16:12:18.942369
TEN53369,Piassa Agro Processing Processing,agro_processing,1851868,653,7.65,553.0,246.6,False,Amhara,15045.559753854008,52461.4050398423,mekelle,Mekelle Industrial Park,89.0,True,5.0,2025-12-20 16:12:18.942369
TEN80545,Sheba Manufacturing Enterprise,manufacturing,598919,538,10.12,510.0,137.7,False,any,5054.183571971673,14588.684469378755,semera,Semera Industrial Park,96.0,True,5.0,2024-11-21 16:12:18.942369
TEN21003,Bole Pharmaceutical Manufacturing,pharmaceutical,17683010,480,9.44,946.1,150.6,False,Addis Ababa,172121.16237900447,385795.3619312729,kilinto,Kilinto Industrial Park,96.0,True,5.0,2025-01-29 16:12:18.942369
TEN55870,Sheba Manufacturing International,manufacturing,7572684,334,4.98,208.0,36.0,False,any,61620.722472067515,223945.89367574957,semera,Semera Industrial Park,96.0,True,5.0,2025-12-20 16:12:18.942369
TEN31992,Blue Nile Footwear Manufacturing,footwear,3117636,1177,14.4,790.5,563.9,False,Oromia,30956.384423917803,65722.84553487542,bole_lemi,Bole Lemi Industrial Park,74.0,True,4.4,2024-12-21 16:12:18.942369
TEN99687,Blue Nile Manufacturing Group,manufacturing,3827421,782,8.66,1201.1,274.4,True,any,36610.31792000888,89837.36982620628,dire_dawa_ftz,Dire Dawa Free Trade Zone,100.0,True,5.0,2025-01-25 16:12:18.942369
TEN67080,African Textile Corporation,textile,14796423,1920,21.91,2208.5,470.2,False,SNNPR,146942.49944557383,335890.99381801655,mekelle,Mekelle Industrial Park,89.0,True,5.0,2024-05-13 16:12:18.942369
TEN97580,Merkato Food Processing Factory,food_processing,4618725,430,8.54,270.9,194.6,True,Dire Dawa,37214.91479440132,131677.67138897264,dire_dawa_ftz,Dire Dawa Free Trade Zone,100.0,True,5.0,2025-01-26 16:12:18.942369
TEN41499,Meskel Food Processing International,food_processing,5135017,710,10.1,905.2,125.3,True,Dire Dawa,48390.78171711668,125714.17931094383,dire_dawa_ftz,Dire Dawa Free Trade Zone,100.0,True,5.0,2025-05-05 16:12:18.942369
TEN45509,Lalibela Beverage Textile Mill,beverage,6691135,729,9.92,945.1,197.0,False,Amhara,56614.20231392779,182084.8083428746,adama,Adama Industrial Park,89.0,True,5.0,2024-02-03 16:12:18.942369
TEN35443,Lalibela Pharmaceutical Industries,pharmaceutical,9260663,148,5.3,135.4,49.7,False,Addis Ababa,80769.29992894434,213205.24275518197,kilinto,Kilinto Industrial Park,96.0,True,4.8,2025-11-15 16:12:18.942369
TEN67733,Gondar Horticulture Manufacturing,horticulture,2618618,349,6.86,568.6,49.2,True,Amhara,26005.48301455903,58983.80457955927,bahir_dar,Bahir Dar Industrial Park,66.0,False,2.1,2025-10-26 16:12:18.942369
TEN89471,Sheba Garment Corporation,garment,3503120,821,12.36,1579.3,110.1,True,Amhara,30689.979741909006,101888.39855341501,debre_birhan,Debre Birhan Industrial Park,96.0,True,5.0,2024-06-06 16:12:18.942369
TEN32782,Nile Garment Manufacturing,garment,13416638,2697,27.92,4434.2,944.5,True,SNNPR,107404.90240310268,328775.2112251464,hawassa,Hawassa Industrial Park,100.0,True,5.0,2024-01-17 16:12:18.942369
TEN65723,Blue Nile Beverage Corporation,beverage,8117381,769,8.51,653.8,158.3,False,SNNPR,68588.77592041974,174441.65733490256,adama,Adama Industrial Park,89.0,True,4.5,2025-03-01 16:12:18.942369
TEN20543,Ethiopia Beverage Processing,beverage,2586308,499,7.6,477.1,130.2,True,Amhara,24489.925924129948,67340.05419287537,adama,Adama Industrial Park,89.0,True,5.0,2024-05-30 16:12:18.942369
TEN46458,African Textile Group,textile,14781161,2953,31.24,1654.7,1188.6,False,any,131135.06034293622,415978.07618690736,bole_lemi,Bole Lemi Industrial Park,81.0,True,4.4,2024-02-23 16:12:18.942369
TEN82102,Ethiopia Leather Enterprise,leather,3198193,928,11.26,1429.6,199.8,False,any,26148.808425673957,72036.06238291413,bole_lemi,Bole Lemi Industrial Park,96.0,True,5.0,2026-01-08 16:12:18.942369
TEN36680,Axum Horticulture Corporation,horticulture,7433143,523,5.97,668.2,182.6,False,Addis Ababa,61412.82413136083,170072.47822865983,addis_industrial_village,Addis Industrial Village (AIV),66.0,True,4.3,2024-04-26 16:12:18.942369
TEN24871,Piassa Medical Share Company,medical,3157144,776,9.66,403.9,204.2,True,any,29346.977515371025,68003.9701166215,bole_lemi,Bole Lemi Industrial Park,70.0,True,3.8,2024-09-02 16:12:18.942369
TEN19150,Axum Automotive Processing,automotive,35654421,649,9.47,697.9,304.2,False,any,309471.4780109489,993944.5001414797,semera,Semera Industrial Park,81.0,True,4.8,2024-05-18 16:12:18.942369
TEN34727,Sheba Automotive Group,automotive,14972069,1922,21.73,2357.4,447.8,False,Oromia,131244.2839503252,427604.2334137837,semera,Semera Industrial Park,74.0,True,4.2,2024-12-15 16:12:18.942369
TEN67711,Blue Nile Manufacturing Corporation,manufacturing,3051903,729,10.02,405.0,219.4,False,any,29972.38337497376,61506.453801203774,semera,Semera Industrial Park,96.0,True,5.0,2025-10-25 16:12:18.942369
TEN79942,Merkato Automotive Factory,automotive,22785377,1750,19.52,2693.3,629.9,False,any,210846.72719397498,657913.7895447239,semera,Semera Industrial Park,81.0,True,4.7,2025-05-14 16:12:18.942369
TEN13794,Ethiopia Beverage Factory,beverage,2016313,282,5.27,182.6,99.7,False,Oromia,19341.05283734323,46241.47260459739,adama,Adama Industrial Park,96.0,True,5.0,2024-06-09 16:12:18.942369
TEN28758,Sheba Pharmaceutical Enterprise,pharmaceutical,7874352,137,2.23,247.5,47.7,True,any,73040.98721390443,193675.23879333292,kilinto,Kilinto Industrial Park,100.0,True,5.0,2025-03-21 16:12:18.942369
TEN69878,Lalibela Horticulture Industries,horticulture,1739197,211,4.6,214.9,70.7,False,Oromia,17389.791013994432,49625.1246969542,adama,Adama Industrial Park,66.0,True,3.7,2025-03-13 16:12:18.942369
TEN75107,Lalibela Beverage Industries,beverage,7140518,72,2.46,97.1,27.0,False,Dire Dawa,65793.66109312382,167967.90126919284,adama,Adama Industrial Park,89.0,True,5.0,2024-03-05 16:12:18.942369
TEN21813,Lalibela Footwear Factory,footwear,2630140,2773,32.3,4075.0,620.0,False,SNNPR,24973.078644218018,57222.3797487839,bahir_dar,Bahir Dar Industrial Park,74.0,True,4.7,2024-07-15 16:12:18.942369
TEN54396,Blue Nile Electronics Enterprise,electronics,5072250,985,14.09,872.2,423.4,False,any,50346.07100950833,108584.54769363588,bole_lemi_ii,Bole Lemi II Industrial Park,66.0,False,2.4,2024-11-29 16:12:18.942369
TEN98125,Axum Horticulture Group,horticulture,2015030,424,8.3,220.9,133.4,False,any,17655.79562359803,53167.559310967205,hawassa,Hawassa Industrial Park,66.0,False,2.2,2024-04-15 16:12:18.942369
TEN25292,Horn Horticulture PLC,horticulture,4213925,385,7.26,559.4,110.0,False,any,41686.35025989911,97104.19531132378,hawassa,Hawassa Industrial Park,66.0,True,4.2,2025-08-24 16:12:18.942369
TEN30253,Bole Manufacturing International,manufacturing,6724540,514,8.66,830.0,245.9,False,any,55128.06988695267,167397.13729497773,semera,Semera Industrial Park,96.0,True,4.8,2024-12-26 16:12:18.942369
TEN17936,Merkato Chemical Textile Mill,chemical,16921516,277,7.55,493.9,38.7,False,Oromia,141795.8252430914,359101.5964109064,jimma,Jimma Industrial Park,66.0,True,3.5,2024-03-26 16:12:18.942369
TEN82641,Abyssinia Textile Group,textile,14200222,407,6.07,807.2,168.8,True,any,119734.89027689061,407503.1213251228,hawassa,Hawassa Industrial Park,100.0,True,5.0,2026-01-07 16:12:18.942369
TEN27275,Addis Food Processing Factory,food_processing,2927461,979,14.73,1282.8,410.6,True,any,28044.986590290675,65514.574974971925,dire_dawa_ftz,Dire Dawa Free Trade Zone,100.0,True,5.0,2024-11-04 16:12:18.942369
TEN15683,Entoto Electronics Textile Mill,electronics,1566326,166,4.3,276.7,50.7,True,Dire Dawa,13965.495822934348,46426.31275304795,addis_industrial_village,Addis Industrial Village (AIV),89.0,True,4.9,2024-02-07 16:12:18.942369
TEN81874,Gondar Leather Processing,leather,7941741,552,6.35,342.9,189.5,True,Dire Dawa,79332.08005691737,200970.26988658684,bole_lemi,Bole Lemi Industrial Park,93.0,True,4.7,2024-01-22 16:12:18.942369
TEN62262,Bole Leather Share Company,leather,9749870,923,12.97,759.2,259.0,True,Amhara,84093.5715623731,225468.0419056896,bahir_dar,Bahir Dar Industrial Park,96.0,True,5.0,2024-09-11 16:12:18.942369
TEN86869,Gondar Apparel International,apparel,14954816,573,6.61,657.7,228.0,True,Addis Ababa,123294.42076384187,351976.2621887635,hawassa,Hawassa Industrial Park,93.0,True,5.0,2025-11-18 16:12:18.942369
TEN55890,Harar Beverage Share Company,beverage,5742022,664,8.72,907.6,122.9,False,Addis Ababa,54693.97263181059,147805.38855071354,addis_industrial_village,Addis Industrial Village (AIV),81.0,True,4.7,2024-01-30 16:12:18.942369
TEN84228,Merkato Food Processing Share Company,food_processing,3526879,129,3.02,212.0,60.5,True,SNNPR,29215.781476716747,92868.79074822467,dire_dawa_ftz,Dire Dawa Free Trade Zone,93.0,True,4.9,2024-11-06 16:12:18.942369
TEN30392,African Metal Group,metal,15563557,848,10.65,1341.9,348.3,False,Addis Ababa,126057.4187748848,323968.1275389,bole_lemi_ii,Bole Lemi II Industrial Park,81.0,True,4.7,2024-11-11 16:12:18.942369
TEN15952,Sheba Food Processing Processing,food_processing,9095744,320,4.21,366.4,68.3,False,Oromia,90674.48338000075,186897.70670499085,adama,Adama Industrial Park,96.0,True,5.0,2025-04-23 16:12:18.942369
TEN75570,Harar Beverage Share Company,beverage,2513003,385,4.38,623.9,65.6,True,any,22099.70610419396,68907.58081815962,adama,Adama Industrial Park,96.0,True,4.9,2025-02-23 16:12:18.942369
TEN70305,Harar Steel Share Company,steel,32140360,1324,16.93,1491.5,193.4,True,Dire Dawa,285195.02762312704,676831.9921806216,dire_dawa_ftz,Dire Dawa Free Trade Zone,85.0,True,4.3,2025-02-26 16:12:18.942369
TEN56019,Horn Agro Processing Industries,agro_processing,6087964,326,7.27,200.3,115.2,False,Oromia,49955.452528296046,137342.5332069054,adama,Adama Industrial Park,96.0,True,5.0,2025-10-24 16:12:18.942369
TEN83989,Gondar Pharmaceutical International,pharmaceutical,23070464,445,7.17,726.1,179.8,False,any,199150.65396868947,562864.6022295358,kilinto,Kilinto Industrial Park,96.0,True,5.0,2024-05-14 16:12:18.942369
TEN90610,Entoto Garment Processing,garment,9511700,1641,17.24,1957.1,188.8,True,Addis Ababa,84895.94897243708,242958.91029258547,bole_lemi,Bole Lemi Industrial Park,100.0,True,5.0,2024-06-03 16:12:18.942369
TEN55015,Nile Chemical Corporation,chemical,22300627,214,4.78,155.4,26.7,True,any,207223.09450838217,454741.4795638816,kilinto,Kilinto Industrial Park,100.0,True,5.0,2024-04-25 16:12:18.942369
TEN18639,Gondar Pharmaceutical Share Company,pharmaceutical,14510836,236,6.99,255.1,96.7,False,Oromia,132279.7133388732,346310.41778216587,kilinto,Kilinto Industrial Park,89.0,True,5.0,2024-05-02 16:12:18.942369
TEN61374,Horn Footwear Group,footwear,2367376,1565,18.77,1114.5,375.5,False,any,22295.161267211377,49353.13755761987,bole_lemi,Bole Lemi Industrial Park,81.0,True,4.4,2025-09-01 16:12:18.942369
TEN35166,Sheba Electronics Manufacturing,electronics,7603580,145,4.24,76.5,32.4,False,Amhara,63184.91603619324,174562.3890829905,addis_industrial_village,Addis Industrial Village (AIV),89.0,True,5.0,2024-07-19 16:12:18.942369
TEN31697,Piassa Garment PLC,garment,6649968,2911,33.55,4154.1,986.5,True,Dire Dawa,58664.13723795277,177977.27788940235,hawassa,Hawassa Industrial Park,93.0,True,4.9,2024-10-07 16:12:18.942369
TEN67749,Piassa Medical Textile Mill,medical,4512581,596,7.85,1020.9,171.4,False,Dire Dawa,43123.34349227462,112945.6918077971,kilinto,Kilinto Industrial Park,89.0,True,4.6,2024-04-30 16:12:18.942369
TEN26341,Lalibela Footwear Share Company,footwear,1875431,1224,15.63,2216.9,393.9,True,any,17865.793920301552,42624.63259783918,bole_lemi_ii,Bole Lemi II Industrial Park,85.0,True,4.3,2025-05-27 16:12:18.942369
TEN59140,Sheba Metal PLC,metal,28460257,1961,24.3,2200.9,507.1,True,Addis Ababa,245821.7629146247,597404.4518458912,bole_lemi_ii,Bole Lemi II Industrial Park,85.0,True,4.4,2025-12-01 16:12:18.942369
TEN12490,Axum Beverage Industries,beverage,8426478,989,13.52,700.4,378.0,False,Addis Ababa,81483.4203738296,214774.4290053908,adama,Adama Industrial Park,89.0,True,4.6,2025-03-20 16:12:18.942369
TEN88215,Addis Medical International,medical,2544276,358,4.29,404.4,149.5,False,Amhara,22976.724202708534,57041.093888921074,kilinto,Kilinto Industrial Park,89.0,True,5.0,2025-05-08 16:12:18.942369
TEN82633,Addis Steel Processing,steel,49585203,533,8.84,685.0,130.2,False,Dire Dawa,483290.257331338,1013290.6930938293,dire_dawa_ftz,Dire Dawa Free Trade Zone,81.0,True,4.8,2025-01-09 16:12:18.942369
TEN56176,Gondar Apparel International,apparel,5045421,1612,19.92,2325.1,658.7,False,Addis Ababa,42130.16471699672,140219.44403129784,hawassa,Hawassa Industrial Park,89.0,True,5.0,2025-08-24 16:12:18.942369
TEN77552,Merkato Apparel Corporation,apparel,1620485,2074,22.56,1173.3,372.9,True,any,14498.15444504762,33003.13410963987,hawassa,Hawassa Industrial Park,100.0,True,5.0,2025-11-22 16:12:18.942369
TEN54438,African Agro Processing Enterprise,agro_processing,2588344,379,7.89,437.9,98.5,False,any,24289.374653120783,61275.082143145315,mekelle,Mekelle Industrial Park,96.0,True,4.9,2024-11-01 16:12:18.942369
TEN50173,Piassa Apparel Group,apparel,11107489,1963,24.61,1512.9,427.0,True,Oromia,104802.7777862044,240659.82972629642,hawassa,Hawassa Industrial Park,93.0,True,5.0,2025-01-13 16:12:18.942369
TEN14081,Horn Steel Group,steel,47914058,712,12.03,1368.4,92.6,False,SNNPR,448292.443083889,1168227.5414820274,semera,Semera Industrial Park,74.0,True,4.3,2025-01-04 16:12:18.942369
TEN85225,Horn Manufacturing Corporation,manufacturing,1043335,630,9.52,956.7,302.1,True,any,9112.383449357494,24146.79334414262,dire_dawa_ftz,Dire Dawa Free Trade Zone,100.0,True,5.0,2025-07-03 16:12:18.942369
TEN47431,Meskel Automotive Industries,automotive,30970283,1210,16.71,818.7,496.1,False,Dire Dawa,255358.4953255128,883528.3756304266,dire_dawa_ftz,Dire Dawa Free Trade Zone,81.0,False,2.6,2025-10-12 16:12:18.942369
TEN57381,Entoto Agro Processing Industries,agro_processing,6328829,783,11.52,1037.5,169.2,True,SNNPR,52166.79645042348,139296.28401540103,dire_dawa_ftz,Dire Dawa Free Trade Zone,93.0,True,4.7,2024-06-21 16:12:18.942369
TEN72739,Entoto Coffee Processing Processing,coffee_processing,9755099,528,6.36,964.3,66.7,True,any,93047.34467239134,275419.55352804903,jimma,Jimma Industrial Park,96.0,False,3.3,2024-10-06 16:12:18.942369
TEN66704,Entoto Metal PLC,metal,39719442,1542,17.47,2801.7,635.5,False,SNNPR,383800.29383364145,1000176.1161875176,semera,Semera Industrial Park,74.0,True,4.6,2025-05-24 16:12:18.942369
TEN90534,Nile Coffee Processing Corporation,coffee_processing,5265539,581,10.12,508.9,205.7,False,Oromia,48874.600593905016,136472.68449343953,jimma,Jimma Industrial Park,96.0,True,5.0,2024-04-30 16:12:18.942369
TEN44688,Abyssinia Agro Processing Group,agro_processing,9955941,962,10.31,1727.4,127.5,False,any,87942.55487906208,262736.4060915118,mekelle,Mekelle Industrial Park,96.0,True,5.0,2025-03-06 16:12:18.942369
TEN54589,Horn Automotive Factory,automotive,32252408,651,8.35,396.8,80.7,False,SNNPR,313589.2003678259,748035.3857673048,kilinto,Kilinto Industrial Park,59.0,False,1.6,2024-12-26 16:12:18.942369
TEN60351,Bole Electronics Industries,electronics,2281470,625,8.19,749.8,129.4,True,Oromia,22644.437782616962,66215.35082644969,adama,Adama Industrial Park,66.0,True,3.5,2024-07-31 16:12:18.942369
TEN56254,Ethiopia Metal PLC,metal,25705801,1171,14.45,743.7,301.3,False,Dire Dawa,220111.3880886372,667713.0062135243,bole_lemi_ii,Bole Lemi II Industrial Park,74.0,True,3.7,2025-09-21 16:12:18.942369
TEN57516,Lalibela Steel Share Company,steel,22748475,424,8.01,697.8,104.5,False,SNNPR,199565.49317266376,557418.2536913904,semera,Semera Industrial Park,74.0,False,2.6,2024-04-24 16:12:18.942369
TEN36090,Entoto Leather Processing,leather,2122046,181,4.08,306.3,42.6,False,any,19098.74462992094,43402.27797889346,bole_lemi,Bole Lemi Industrial Park,96.0,True,5.0,2024-09-29 16:12:18.942369
TEN49221,Gondar Footwear Corporation,footwear,9648751,2683,27.96,5089.8,610.1,True,any,93173.92408209124,244339.1646585469,bole_lemi_ii,Bole Lemi II Industrial Park,85.0,True,5.0,2024-12-28 16:12:18.942369
TEN13492,Meskel Agro Processing Textile Mill,agro_processing,2338859,789,12.8,1085.3,330.4,False,any,23234.556002756533,65088.20046495303,mekelle,Mekelle Industrial Park,96.0,True,5.0,2024-05-22 16:12:18.942369
TEN14138,Blue Nile Automotive Industries,automotive,40180636,499,8.32,713.4,217.8,True,any,322966.9189411628,929656.3549327394,dire_dawa_ftz,Dire Dawa Free Trade Zone,85.0,True,4.7,2024-04-23 16:12:18.942369
TEN51124,African Automotive Enterprise,automotive,9179626,1937,23.05,2475.5,628.3,False,Amhara,90182.92532569246,215016.85992014734,semera,Semera Industrial Park,74.0,False,2.7,2024-03-22 16:12:18.942369
TEN49008,Lalibela Food Processing Industries,food_processing,8623194,724,8.61,629.7,234.0,True,any,80889.69732791166,214631.56421225338,dire_dawa_ftz,Dire Dawa Free Trade Zone,100.0,True,5.0,2025-04-04 16:12:18.942369
TEN48070,Ethiopia Beverage Textile Mill,beverage,9613230,174,3.95,342.8,74.4,False,any,95273.14098041123,199861.88145132974,addis_industrial_village,Addis Industrial Village (AIV),81.0,True,4.3,2024-07-07 16:12:18.942369
TEN79604,Sheba Food Processing International,food_processing,5057052,675,7.87,960.9,225.9,True,any,42811.34918087963,106208.1028918611,dire_dawa_ftz,Dire Dawa Free Trade Zone,100.0,True,5.0,2025-08-22 16:12:18.942369
TEN52096,Lalibela Textile International,textile,3649811,2454,26.87,4668.9,1107.6,False,Oromia,29630.352516105286,101053.22937389261,arerti,Arerti Industrial Park,96.0,True,5.0,2025-12-02 16:12:18.942369
TEN14910,Addis Pharmaceutical Textile Mill,pharmaceutical,7898490,263,7.33,145.8,114.3,False,Oromia,72160.00228005568,166444.93433067884,hawassa,Hawassa Industrial Park,59.0,True,3.6,2024-07-22 16:12:18.942369
TEN94972,Axum Automotive Manufacturing,automotive,14006005,1971,24.04,2369.2,349.1,True,Amhara,112442.5666285064,327336.04869253386,dire_dawa_ftz,Dire Dawa Free Trade Zone,78.0,True,4.1,2024-04-24 16:12:18.948595
TEN42512,Addis Manufacturing Textile Mill,manufacturing,7675669,896,11.78,564.6,329.5,True,Oromia,67293.7321194118,187803.3199592862,dire_dawa_ftz,Dire Dawa Free Trade Zone,93.0,True,5.0,2024-06-02 16:12:18.948595
TEN50760,Blue Nile Textile International,textile,11966987,1271,14.83,1086.0,466.6,False,Dire Dawa,117662.53683555908,274646.85125581,hawassa,Hawassa Industrial Park,89.0,True,4.6,2025-08-06 16:12:18.948595
TEN38627,Sheba Metal International,metal,45650452,1681,18.99,2610.4,781.9,False,any,434112.0191744332,1311599.1407701147,semera,Semera Industrial Park,81.0,True,4.8,2025-10-22 16:12:18.948595
TEN67912,Blue Nile Leather International,leather,9688029,113,5.69,90.8,35.6,True,any,81484.10309709684,250256.09620019255,bole_lemi,Bole Lemi Industrial Park,100.0,True,5.0,2024-10-02 16:12:18.948595
TEN61897,Axum Footwear PLC,footwear,7969667,2302,25.58,1350.4,656.0,False,any,75644.96275055358,205482.82204869247,bahir_dar,Bahir Dar Industrial Park,81.0,True,4.1,2025-11-09 16:12:18.948595
TEN65097,Harar Apparel Processing,apparel,1532422,2133,23.12,1642.4,328.8,False,any,13634.072339818438,44702.51320038767,hawassa,Hawassa Industrial Park,96.0,True,5.0,2024-07-06 16:12:18.948595
TEN10455,Addis Footwear Textile Mill,footwear,6834610,2876,29.79,5721.1,739.8,True,any,61005.78218628972,185839.46872548922,bole_lemi_ii,Bole Lemi II Industrial Park,85.0,True,4.5,2024-09-25 16:12:18.948595
TEN90599,Addis Coffee Processing Industries,coffee_processing,5124635,208,3.43,377.1,84.5,True,any,43109.266184380744,107663.28827298818,jimma,Jimma Industrial Park,96.0,True,5.0,2025-11-21 16:12:18.948595
TEN47914,Sheba Medical Group,medical,1242169,808,10.39,688.0,151.0,False,Dire Dawa,10729.616571230446,32270.527995393128,kilinto,Kilinto Industrial Park,89.0,True,4.8,2025-08-16 16:12:18.948595
