id,assetCode,name,description,category,status,condition,parkId,parkName,location,purchaseDate,purchaseCost,currentValue,depreciationRate,manufacturer,model,serialNumber,maintenanceInterval,lastMaintenanceDate,nextMaintenanceDate,warrantyExpiry,age_days,maintenance_count,days_since_maintenance,failure_probability,createdAt,updatedAt
asset_0010,OTH-446147-407,Generic Brand Other #11,Generic Brand industrial other for manufacturing operations,other,maintenance,fair,hawassa-park,Kombolcha Industrial Park,"Building B, Floor 2",2024-09-02T00:23:31.979425,48772,38954.98,15.28,Generic Brand,Generic Brand-975,SN8547331,180,2025-12-13T00:23:31.979425,2026-06-11T00:23:31.979425,2027-09-02T00:23:31.979425,495,2,28,10.14,2024-09-02T00:23:31.979425,2026-01-10T00:23:31.979425
asset_0011,SAF-728293-752,Generic Brand Safety Equipment #12,Generic Brand industrial safety-equipment for manufacturing operations,safety-equipment,maintenance,critical,kombolcha,Kilinto Industrial Park,"Building C, Floor 2",2022-09-24T00:23:31.979425,8006,3996.87,19.0,Generic Brand,Generic Brand-369,SN3299153,180,2025-11-01T00:23:31.979425,2026-04-30T00:23:31.979425,2025-09-23T00:23:31.979425,1204,6,70,25.33,2022-09-24T00:23:31.979425,2026-01-10T00:23:31.979425
asset_0012,UTI-999979-278,Wilo Utility #13,Wilo industrial utility for manufacturing operations,utility,repair,poor,bole-lemi,Hawassa Industrial Park,"Building C, Floor 3",2025-07-19T00:23:31.979425,54315,48965.15,19.46,Wilo,Wilo-470,SN1870741,90,2026-01-09T00:23:31.979425,2026-04-09T00:23:31.979425,2026-07-19T00:23:31.979425,175,1,1,15.05,2025-07-19T00:23:31.979425,2026-01-10T00:23:31.979425
asset_0013,MAC-700312-838,Schneider Electric Machinery #14,Schneider Electric industrial machinery for manufacturing operations,machinery,operational,excellent,bole-lemi,Kombolcha Industrial Park,"Building C, Floor 1",2025-07-09T00:23:31.979425,64401,62168.59,6.73,Schneider Electric,Schneider Electric-950,SN1557555,90,2025-10-27T00:23:31.979425,2026-01-25T00:23:31.979425,2028-07-08T00:23:31.979425,185,2,75,5.05,2025-07-09T00:23:31.979425,2026-01-10T00:23:31.979425
asset_0014,TOO-718231-212,Generic Brand Tool #15,Generic Brand industrial tool for manufacturing operations,tool,operational,fair,kilinto,Kombolcha Industrial Park,"Building D, Floor 1",2021-08-01T00:23:31.979425,3352,1818.37,12.86,Generic Brand,Generic Brand-146,SN8731369,180,2025-12-04T00:23:31.979425,2026-06-02T00:23:31.979425,2022-08-01T00:23:31.979425,1623,9,37,10.44,2021-08-01T00:23:31.979425,2026-01-10T00:23:31.979425
asset_0015,UTI-814670-779,Wilo Utility #16,Wilo industrial utility for manufacturing operations,utility,operational,good,kilinto,Kilinto Industrial Park,"Building A, Floor 3",2021-07-28T00:23:31.979425,73333,43160.76,11.22,Wilo,Wilo-372,SN3824432,90,2025-11-06T00:23:31.979425,2026-02-04T00:23:31.979425,2024-07-27T00:23:31.979425,1627,18,65,7.45,2021-07-28T00:23:31.979425,2026-01-10T00:23:31.979425
asset_0016,INF-929739-165,Caterpillar Infrastructure #17,Caterpillar industrial infrastructure for manufacturing operations,infrastructure,operational,good,kombolcha,Kombolcha Industrial Park,"Building A, Floor 2",2023-04-07T00:23:31.979425,668921,404364.91,16.66,Caterpillar,Caterpillar-210,SN9705274,180,2025-09-10T00:23:31.979425,2026-03-09T00:23:31.979425,2025-04-06T00:23:31.979425,1009,5,122,7.28,2023-04-07T00:23:31.979425,2026-01-10T00:23:31.979425
asset_0017,VEH-170986-110,Toyota Vehicle #18,Toyota industrial vehicle for manufacturing operations,vehicle,maintenance,poor,hawassa-park,Kilinto Industrial Park,"Building C, Floor 3",2023-06-21T00:23:31.979425,106420,81744.13,9.8,Toyota,Toyota-469,SN5257719,120,2025-12-03T00:23:31.979425,2026-04-02T00:23:31.979425,2024-06-20T00:23:31.979425,934,7,38,15.26,2023-06-21T00:23:31.979425,2026-01-10T00:23:31.979425
asset_0018,UTI-610741-187,Wilo Utility #19,Wilo industrial utility for manufacturing operations,utility,operational,fair,kombolcha,Hawassa Industrial Park,"Building C, Floor 1",2022-10-24T00:23:31.979425,71493,41629.98,15.49,Wilo,Wilo-198,SN5868798,90,2025-12-22T00:23:31.979425,2026-03-22T00:23:31.979425,2025-10-23T00:23:31.979425,1174,13,19,10.32,2022-10-24T00:23:31.979425,2026-01-10T00:23:31.979425
asset_0019,MAC-650672-139,Schneider Electric Machinery #20,Schneider Electric industrial machinery for manufacturing operations,machinery,reserved,good,bole-lemi,Kombolcha Industrial Park,"Building C, Floor 1",2024-06-19T00:23:31.979425,437816,377935.44,8.99,Schneider Electric,Schneider Electric-163,SN5319863,90,2025-10-24T00:23:31.979425,2026-01-22T00:23:31.979425,2026-06-19T00:23:31.979425,570,6,78,7.16,2024-06-19T00:23:31.979425,2026-01-10T00:23:31.979425
asset_0020,SAF-479087-964,Generic Brand Safety Equipment #21,Generic Brand industrial safety-equipment for manufacturing operations,safety-equipment,damaged,poor,kombolcha,Hawassa Industrial Park,"Building B, Floor 3",2023-03-14T00:23:31.979425,1155,626.13,19.47,Generic Brand,Generic Brand-134,SN2213864,180,2025-07-18T00:23:31.979425,2026-01-14T00:23:31.979425,2024-03-13T00:23:31.979425,1033,5,176,15.28,2023-03-14T00:23:31.979425,2026-01-10T00:23:31.979425
asset_0021,INF-722355-296,Komatsu Infrastructure #22,Komatsu industrial infrastructure for manufacturing operations,infrastructure,operational,fair,hawassa-park,Hawassa Industrial Park,"Building B, Floor 2",2023-09-02T00:23:31.979425,726760,538260.79,11.96,Komatsu,Komatsu-956,SN6510098,180,2025-08-12T00:23:31.979425,2026-02-08T00:23:31.979425,2025-09-01T00:23:31.979425,861,4,151,10.24,2023-09-02T00:23:31.979425,2026-01-10T00:23:31.979425
asset_0022,VEH-164550-595,Mercedes-Benz Vehicle #23,Mercedes-Benz industrial vehicle for manufacturing operations,vehicle,reserved,good,kilinto,Kilinto Industrial Park,"Building C, Floor 3",2024-05-31T00:23:31.979425,102121,73439.05,18.49,Mercedes-Benz,Mercedes-Benz-174,SN9132486,120,2025-09-19T00:23:31.979425,2026-01-17T00:23:31.979425,2027-05-31T00:23:31.979425,589,4,113,7.16,2024-05-31T00:23:31.979425,2026-01-10T00:23:31.979425
asset_0023,FUR-483816-436,Generic Brand Furniture #24,Generic Brand industrial furniture for manufacturing operations,furniture,repair,poor,kilinto,Hawassa Industrial Park,"Building A, Floor 1",2023-06-27T00:23:31.979425,1711,1088.47,16.31,Generic Brand,Generic Brand-378,SN3080391,180,2025-08-20T00:23:31.979425,2026-02-16T00:23:31.979425,2026-06-26T00:23:31.979425,928,5,143,15.25,2023-06-27T00:23:31.979425,2026-01-10T00:23:31.979425
asset_0024,OTH-925698-517,Generic Brand Other #25,Generic Brand industrial other for manufacturing operations,other,repair,critical,hawassa-park,Kilinto Industrial Park,"Building D, Floor 3",2022-09-11T00:23:31.979425,12827,7441.39,15.08,Generic Brand,Generic Brand-434,SN2540301,180,2025-12-03T00:23:31.979425,2026-06-01T00:23:31.979425,2024-09-10T00:23:31.979425,1217,6,38,25.33,2022-09-11T00:23:31.979425,2026-01-10T00:23:31.979425
asset_0025,UTI-991670-864,KSB Utility #26,KSB industrial utility for manufacturing operations,utility,repair,poor,bole-lemi,Bole Lemi Industrial Park,"Building A, Floor 3",2021-10-19T00:23:31.979425,87935,56649.93,9.88,KSB,KSB-503,SN8554899,90,2025-12-22T00:23:31.979425,2026-03-22T00:23:31.979425,2023-10-19T00:23:31.979425,1544,17,19,15.42,2021-10-19T00:23:31.979425,2026-01-10T00:23:31.979425
asset_0026,VEH-888184-507,Mercedes-Benz Vehicle #27,Mercedes-Benz industrial vehicle for manufacturing operations,vehicle,operational,good,kombolcha,Kilinto Industrial Park,"Building C, Floor 1",2021-01-13T00:23:31.979425,64887,25990.13,16.75,Mercedes-Benz,Mercedes-Benz-578,SN8202363,120,2025-12-29T00:23:31.979425,2026-04-28T00:23:31.979425,2024-01-13T00:23:31.979425,1823,15,12,7.5,2021-01-13T00:23:31.979425,2026-01-10T00:23:31.979425
asset_0027,TOO-984494-315,Generic Brand Tool #28,Generic Brand industrial tool for manufacturing operations,tool,reserved,poor,bole-lemi,Kilinto Industrial Park,"Building B, Floor 2",2025-01-01T00:23:31.979425,3248,2587.37,19.91,Generic Brand,Generic Brand-793,SN8584188,180,2025-12-05T00:23:31.979425,2026-06-03T00:23:31.979425,2028-01-01T00:23:31.979425,374,2,36,15.1,2025-01-01T00:23:31.979425,2026-01-10T00:23:31.979425
asset_0028,UTI-878300-824,Grundfos Utility #29,Grundfos industrial utility for manufacturing operations,utility,operational,excellent,kilinto,Kombolcha Industrial Park,"Building A, Floor 2",2021-10-05T00:23:31.979425,30082,23969.33,5.19,Grundfos,Grundfos-469,SN6326649,90,2025-11-29T00:23:31.979425,2026-02-27T00:23:31.979425,2022-10-05T00:23:31.979425,1558,17,42,5.43,2021-10-05T00:23:31.979425,2026-01-10T00:23:31.979425
asset_0029,SAF-835308-342,Generic Brand Safety Equipment #30,Generic Brand industrial safety-equipment for manufacturing operations,safety-equipment,maintenance,fair,bole-lemi,Kilinto Industrial Park,"Building B, Floor 1",2022-05-03T00:23:31.979425,3141,2534.32,5.65,Generic Brand,Generic Brand-756,SN4089624,180,2025-08-02T00:23:31.979425,2026-01-29T00:23:31.979425,2024-05-02T00:23:31.979425,1348,7,161,10.37,2022-05-03T00:23:31.979425,2026-01-10T00:23:31.979425
asset_0030,MAC-657995-823,Schneider Electric Machinery #31,Schneider Electric industrial machinery for manufacturing operations,machinery,operational,good,kombolcha,Kilinto Industrial Park,"Building C, Floor 1",2021-03-18T00:23:31.979425,480928,199286.69,16.72,Schneider Electric,Schneider Electric-733,SN9322362,90,2025-12-04T00:23:31.979425,2026-03-04T00:23:31.979425,2023-03-18T00:23:31.979425,1759,19,37,7.48,2021-03-18T00:23:31.979425,2026-01-10T00:23:31.979425
asset_0031,IT--572056-907,Dell It Equipment #32,Dell industrial it-equipment for manufacturing operations,it-equipment,operational,good,bole-lemi,Kilinto Industrial Park,"Building C, Floor 1",2022-06-30T00:23:31.979425,6242,4898.52,6.63,Dell,Dell-961,SN9615309,365,2025-10-14T00:23:31.979425,2026-10-14T00:23:31.979425,2023-06-30T00:23:31.979425,1290,3,88,7.35,2022-06-30T00:23:31.979425,2026-01-10T00:23:31.979425
asset_0032,MAC-210015-884,Mitsubishi Machinery #33,Mitsubishi industrial machinery for manufacturing operations,machinery,operational,good,kilinto,Bole Lemi Industrial Park,"Building A, Floor 3",2022-11-04T00:23:31.979425,356016,227736.41,13.09,Mitsubishi,Mitsubishi-657,SN5381647,90,2025-12-12T00:23:31.979425,2026-03-12T00:23:31.979425,2024-11-03T00:23:31.979425,1163,12,29,7.32,2022-11-04T00:23:31.979425,2026-01-10T00:23:31.979425
asset_0033,SAF-735921-800,Generic Brand Safety Equipment #34,Generic Brand industrial safety-equipment for manufacturing operations,safety-equipment,operational,fair,kombolcha,Hawassa Industrial Park,"Building D, Floor 3",2021-06-05T00:23:31.979425,1890,1317.19,7.55,Generic Brand,Generic Brand-619,SN3946301,180,2025-07-20T00:23:31.979425,2026-01-16T00:23:31.979425,2024-06-04T00:23:31.979425,1680,9,174,10.46,2021-06-05T00:23:31.979425,2026-01-10T00:23:31.979425
asset_0034,VEH-341122-797,Isuzu Vehicle #35,Isuzu industrial vehicle for manufacturing operations,vehicle,operational,poor,kombolcha,Kombolcha Industrial Park,"Building B, Floor 3",2021-11-27T00:23:31.979425,101705,63286.67,10.88,Isuzu,Isuzu-749,SN7216792,120,2025-11-27T00:23:31.979425,2026-03-27T00:23:31.979425,2024-11-26T00:23:31.979425,1505,12,44,15.41,2021-11-27T00:23:31.979425,2026-01-10T00:23:31.979425
asset_0035,SAF-845185-963,Generic Brand Safety Equipment #36,Generic Brand industrial safety-equipment for manufacturing operations,safety-equipment,damaged,fair,bole-lemi,Hawassa Industrial Park,"Building C, Floor 1",2024-03-07T00:23:31.979425,4100,3492.69,8.32,Generic Brand,Generic Brand-149,SN5964232,180,2025-09-05T00:23:31.979425,2026-03-04T00:23:31.979425,2027-03-07T00:23:31.979425,674,3,127,10.18,2024-03-07T00:23:31.979425,2026-01-10T00:23:31.979425
asset_0036,SAF-566160-888,Generic Brand Safety Equipment #37,Generic Brand industrial safety-equipment for manufacturing operations,safety-equipment,maintenance,poor,hawassa-park,Kombolcha Industrial Park,"Building A, Floor 2",2023-04-25T00:23:31.979425,229,155.09,13.38,Generic Brand,Generic Brand-338,SN4866490,180,2025-08-21T00:23:31.979425,2026-02-17T00:23:31.979425,2026-04-24T00:23:31.979425,991,5,142,15.27,2023-04-25T00:23:31.979425,2026-01-10T00:23:31.979425
asset_0037,UTI-562946-260,Wilo Utility #38,Wilo industrial utility for manufacturing operations,utility,operational,fair,kombolcha,Kombolcha Industrial Park,"Building C, Floor 3",2023-02-09T00:23:31.979425,57839,45562.99,7.85,Wilo,Wilo-110,SN6618185,90,2025-10-12T00:23:31.979425,2026-01-10T00:23:31.979425,2024-02-09T00:23:31.979425,1066,11,90,10.29,2023-02-09T00:23:31.979425,2026-01-10T00:23:31.979425
asset_0038,FUR-223720-898,Generic Brand Furniture #39,Generic Brand industrial furniture for manufacturing operations,furniture,damaged,poor,kombolcha,Kilinto Industrial Park,"Building A, Floor 3",2021-09-17T00:23:31.979425,4755,3392.96,7.52,Generic Brand,Generic Brand-521,SN9987160,180,2025-12-07T00:23:31.979425,2026-06-05T00:23:31.979425,2023-09-17T00:23:31.979425,1576,8,34,15.43,2021-09-17T00:23:31.979425,2026-01-10T00:23:31.979425
asset_0039,FUR-190131-496,Generic Brand Furniture #40,Generic Brand industrial furniture for manufacturing operations,furniture,maintenance,fair,kilinto,Kilinto Industrial Park,"Building D, Floor 3",2023-04-25T00:23:31.979425,3832,3139.14,7.09,Generic Brand,Generic Brand-418,SN6124913,180,2025-07-16T00:23:31.979425,2026-01-12T00:23:31.979425,2026-04-24T00:23:31.979425,991,5,178,10.27,2023-04-25T00:23:31.979425,2026-01-10T00:23:31.979425
asset_0040,MAC-638137-947,ABB Machinery #41,ABB industrial machinery for manufacturing operations,machinery,operational,excellent,kombolcha,Kombolcha Industrial Park,"Building C, Floor 1",2025-08-14T00:23:31.979425,453107,437242.96,8.37,ABB,ABB-329,SN6607869,90,2025-12-16T00:23:31.979425,2026-03-16T00:23:31.979425,2028-08-13T00:23:31.979425,149,1,25,5.04,2025-08-14T00:23:31.979425,2026-01-10T00:23:31.979425
asset_0041,INF-800383-408,Komatsu Infrastructure #42,Komatsu industrial infrastructure for manufacturing operations,infrastructure,repair,poor,bole-lemi,Bole Lemi Industrial Park,"Building A, Floor 1",2023-05-14T00:23:31.979425,350721,229348.7,14.75,Komatsu,Komatsu-416,SN8342065,180,2025-09-19T00:23:31.979425,2026-03-18T00:23:31.979425,2026-05-13T00:23:31.979425,972,5,113,15.27,2023-05-14T00:23:31.979425,2026-01-10T00:23:31.979425
asset_0042,MAC-770555-334,Schneider Electric Machinery #43,Schneider Electric industrial machinery for manufacturing operations,machinery,maintenance,good,hawassa-park,Kilinto Industrial Park,"Building B, Floor 1",2021-08-03T00:23:31.979425,498852,356431.44,7.29,Schneider Electric,Schneider Electric-256,SN6695261,90,2025-12-11T00:23:31.979425,2026-03-11T00:23:31.979425,2023-08-03T00:23:31.979425,1621,18,30,7.44,2021-08-03T00:23:31.979425,2026-01-10T00:23:31.979425
asset_0043,TOO-876482-412,Generic Brand Tool #44,Generic Brand industrial tool for manufacturing operations,tool,maintenance,excellent,kilinto,Kombolcha Industrial Park,"Building D, Floor 2",2021-06-26T00:23:31.979425,1013,513.91,13.88,Generic Brand,Generic Brand-520,SN4081276,180,2025-10-17T00:23:31.979425,2026-04-15T00:23:31.979425,2024-06-25T00:23:31.979425,1659,9,85,5.45,2021-06-26T00:23:31.979425,2026-01-10T00:23:31.979425
asset_0044,FUR-868634-522,Generic Brand Furniture #45,Generic Brand industrial furniture for manufacturing operations,furniture,repair,poor,kombolcha,Bole Lemi Industrial Park,"Building A, Floor 3",2022-10-19T00:23:31.979425,1332,716.38,17.48,Generic Brand,Generic Brand-259,SN8849932,180,2025-08-25T00:23:31.979425,2026-02-21T00:23:31.979425,2023-10-19T00:23:31.979425,1179,6,138,15.32,2022-10-19T00:23:31.979425,2026-01-10T00:23:31.979425
asset_0045,INF-411190-535,Komatsu Infrastructure #46,Komatsu industrial infrastructure for manufacturing operations,infrastructure,operational,good,hawassa-park,Bole Lemi Industrial Park,"Building A, Floor 1",2025-06-19T00:23:31.979425,559228,532572.35,8.33,Komatsu,Komatsu-617,SN7691782,180,2025-12-19T00:23:31.979425,2026-06-17T00:23:31.979425,2026-06-19T00:23:31.979425,205,1,22,7.06,2025-06-19T00:23:31.979425,2026-01-10T00:23:31.979425
asset_0046,SAF-755459-204,Generic Brand Safety Equipment #47,Generic Brand industrial safety-equipment for manufacturing operations,safety-equipment,operational,excellent,bole-lemi,Kombolcha Industrial Park,"Building C, Floor 3",2024-02-19T00:23:31.979425,1253,833.1,19.41,Generic Brand,Generic Brand-271,SN6721508,180,2025-12-04T00:23:31.979425,2026-06-02T00:23:31.979425,2027-02-18T00:23:31.979425,691,3,37,5.19,2024-02-19T00:23:31.979425,2026-01-10T00:23:31.979425
asset_0047,OTH-826337-318,Generic Brand Other #48,Generic Brand industrial other for manufacturing operations,other,operational,poor,kombolcha,Bole Lemi Industrial Park,"Building A, Floor 1",2022-08-24T00:23:31.979425,37402,22888.99,13.52,Generic Brand,Generic Brand-921,SN9738201,180,2025-09-30T00:23:31.979425,2026-03-29T00:23:31.979425,2025-08-23T00:23:31.979425,1235,6,102,15.34,2022-08-24T00:23:31.979425,2026-01-10T00:23:31.979425
asset_0048,MAC-486140-916,Honeywell Machinery #49,Honeywell industrial machinery for manufacturing operations,machinery,operational,good,bole-lemi,Kombolcha Industrial Park,"Building B, Floor 2",2021-12-05T00:23:31.979425,488682,300726.46,11.17,Honeywell,Honeywell-801,SN7306861,90,2025-11-21T00:23:31.979425,2026-02-19T00:23:31.979425,2024-12-04T00:23:31.979425,1497,16,50,7.41,2021-12-05T00:23:31.979425,2026-01-10T00:23:31.979425
asset_0049,IT--253592-715,Huawei It Equipment #50,Huawei industrial it-equipment for manufacturing operations,it-equipment,operational,poor,kombolcha,Hawassa Industrial Park,"Building B, Floor 1",2023-06-29T00:23:31.979425,9016,5529.96,17.54,Huawei,Huawei-302,SN5473206,365,2025-03-02T00:23:31.979425,2026-03-02T00:23:31.979425,2024-06-28T00:23:31.979425,926,2,314,15.25,2023-06-29T00:23:31.979425,2026-01-10T00:23:31.979425
asset_0050,INF-422568-337,Komatsu Infrastructure #51,Komatsu industrial infrastructure for manufacturing operations,infrastructure,reserved,fair,kilinto,Hawassa Industrial Park,"Building A, Floor 1",2024-11-15T00:23:31.979425,243491,212137.36,11.27,Komatsu,Komatsu-181,SN8724979,180,2026-01-06T00:23:31.979425,2026-07-05T00:23:31.979425,2027-11-15T00:23:31.979425,421,2,4,10.12,2024-11-15T00:23:31.979425,2026-01-10T00:23:31.979425
asset_0051,VEH-565426-469,Volvo Vehicle #52,Volvo industrial vehicle for manufacturing operations,vehicle,operational,fair,hawassa-park,Hawassa Industrial Park,"Building C, Floor 1",2023-03-06T00:23:31.979425,122011,84547.59,12.08,Volvo,Volvo-313,SN8347612,120,2025-11-01T00:23:31.979425,2026-03-01T00:23:31.979425,2026-03-05T00:23:31.979425,1041,8,70,10.29,2023-03-06T00:23:31.979425,2026-01-10T00:23:31.979425
asset_0052,OTH-253993-670,Generic Brand Other #53,Generic Brand industrial other for manufacturing operations,other,repair,fair,hawassa-park,Kombolcha Industrial Park,"Building C, Floor 2",2024-09-22T00:23:31.979425,47500,38432.14,15.03,Generic Brand,Generic Brand-175,SN2770833,180,2025-08-27T00:23:31.979425,2026-02-23T00:23:31.979425,2027-09-22T00:23:31.979425,475,2,136,10.13,2024-09-22T00:23:31.979425,2026-01-10T00:23:31.979425
asset_0053,IT--228744-161,Lenovo It Equipment #54,Lenovo industrial it-equipment for manufacturing operations,it-equipment,operational,good,hawassa-park,Bole Lemi Industrial Park,"Building C, Floor 2",2024-09-25T00:23:31.979425,1602,1375.64,11.12,Lenovo,Lenovo-803,SN2618531,365,2025-09-07T00:23:31.979425,2026-09-07T00:23:31.979425,2026-09-25T00:23:31.979425,472,1,125,7.13,2024-09-25T00:23:31.979425,2026-01-10T00:23:31.979425
asset_0054,MAC-307237-374,Honeywell Machinery #55,Honeywell industrial machinery for manufacturing operations,machinery,operational,good,kilinto,Kilinto Industrial Park,"Building C, Floor 1",2022-04-06T00:23:31.979425,342919,278770.27,5.35,Honeywell,Honeywell-635,SN5437300,90,2025-10-29T00:23:31.979425,2026-01-27T00:23:31.979425,2025-04-05T00:23:31.979425,1375,15,73,7.38,2022-04-06T00:23:31.979425,2026-01-10T00:23:31.979425
asset_0055,VEH-165640-359,Isuzu Vehicle #56,Isuzu industrial vehicle for manufacturing operations,vehicle,maintenance,good,kombolcha,Hawassa Industrial Park,"Building C, Floor 3",2022-03-22T00:23:31.979425,66251,39952.46,12.44,Isuzu,Isuzu-379,SN2320846,120,2025-09-19T00:23:31.979425,2026-01-17T00:23:31.979425,2023-03-22T00:23:31.979425,1390,11,113,7.38,2022-03-22T00:23:31.979425,2026-01-10T00:23:31.979425
asset_0056,VEH-591859-915,Mercedes-Benz Vehicle #57,Mercedes-Benz industrial vehicle for manufacturing operations,vehicle,operational,fair,hawassa-park,Kombolcha Industrial Park,"Building A, Floor 2",2021-03-10T00:23:31.979425,143074,70416.72,13.63,Mercedes-Benz,Mercedes-Benz-684,SN9878481,120,2025-11-20T00:23:31.979425,2026-03-20T00:23:31.979425,2024-03-09T00:23:31.979425,1767,14,51,10.48,2021-03-10T00:23:31.979425,2026-01-10T00:23:31.979425
asset_0057,FUR-904324-931,Generic Brand Furniture #58,Generic Brand industrial furniture for manufacturing operations,furniture,operational,excellent,kilinto,Kilinto Industrial Park,"Building B, Floor 3",2025-10-16T00:23:31.979425,2321,2258.28,10.98,Generic Brand,Generic Brand-152,SN1960364,180,2025-08-12T00:23:31.979425,2026-02-08T00:23:31.979425,2028-10-15T00:23:31.979425,86,0,151,5.02,2025-10-16T00:23:31.979425,2026-01-10T00:23:31.979425
asset_0058,FUR-421210-921,Generic Brand Furniture #59,Generic Brand industrial furniture for manufacturing operations,furniture,repair,fair,kilinto,Kombolcha Industrial Park,"Building C, Floor 1",2022-08-12T00:23:31.979425,3374,2636.56,6.97,Generic Brand,Generic Brand-734,SN2427827,180,2025-08-04T00:23:31.979425,2026-01-31T00:23:31.979425,2024-08-11T00:23:31.979425,1247,6,159,10.34,2022-08-12T00:23:31.979425,2026-01-10T00:23:31.979425
